account,date,classification,daily_pnl,trades_count,avg_trade_size,avg_exposure,win_rate,long_ratio,exposure_segment,frequency_segment,consistency_segment,next_day_pnl,profitable_next_day,behavior_cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,-327505.900056,462,12.296536796536795,-356.2439424242424,0.0259740259740259,0.3008658008658009,Low Exposure,Low Frequency,Inconsistent,1927735.720035,1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,1927735.720035,3356,16.700055780691297,-1370.0056983015495,0.4055423122765196,0.4684147794994041,Low Exposure,High Frequency,Consistent,,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,20607.446093,320,129.5396139866875,1888.9823969866247,0.53125,0.453125,High Exposure,Low Frequency,Consistent,17098.727055,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,17098.727055,3533,851.7958757769601,21539.92666430181,0.4350410416076988,0.4324936314746674,High Exposure,High Frequency,Consistent,,0,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,-1.0,5,40.0,-31.886000000000003,0.0,0.4,Low Exposure,Low Frequency,Inconsistent,1793.160215,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,1793.160215,5,83.09891999999999,69.15594,0.8,0.6,Low Exposure,Low Frequency,Consistent,29970.928216,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,29970.928216,1136,25.691708679577467,3.1797150088028165,0.4304577464788732,0.4454225352112676,Low Exposure,High Frequency,Consistent,,0,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,121880.386016,6472,2773.333275151592,16675.925244950562,0.4437577255871446,0.476823238566131,High Exposure,High Frequency,Consistent,10435.095669,1,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,10435.095669,6794,1420.918087095279,19016.992153857747,0.4327347659699735,0.5307624374448042,High Exposure,High Frequency,Consistent,,0,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,52215.729448,763,33318.957672346005,229178.21641677583,0.4744429882044561,0.399737876802097,High Exposure,Low Frequency,Consistent,116412.254606,1,2.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,116412.254606,2471,25288.359009307973,548471.3604589235,0.5337919870497774,0.3528935653581546,High Exposure,High Frequency,Consistent,,0,2.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,0.0,3,0.0837666666666666,0.0919333333333333,0.0,1.0,Low Exposure,Low Frequency,Inconsistent,0.0,0,1.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,2,0.5,0.016875,0.0,1.0,Low Exposure,Low Frequency,Inconsistent,-5564.01614,0,1.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,Extreme Greed,-5564.01614,27,129.52782592592592,384.7915822222222,0.3333333333333333,0.1481481481481481,Low Exposure,Low Frequency,Inconsistent,215.754798,1,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,Neutral,215.754798,80,6939.408296498999,128742.651256739,0.1,0.4375,High Exposure,Low Frequency,Inconsistent,36993.371011,1,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,156,29896.621032429488,112490.11438960738,0.4679487179487179,0.4102564102564102,High Exposure,Low Frequency,Consistent,-59349.677108,0,2.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,349,997.0207518338108,6023.751787384872,0.2636103151862464,0.1891117478510028,High Exposure,Low Frequency,Inconsistent,,0,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,144,270.8673293055556,204.7361508970139,0.5277777777777778,0.4097222222222222,Low Exposure,Low Frequency,Consistent,-20526.462526,0,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,3445,2488.624521137881,-159448.51041287434,0.3193033381712627,0.4612481857764877,Low Exposure,High Frequency,Inconsistent,,0,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,191,2712.4343455497383,7784.231520560209,0.4136125654450261,0.5863874345549738,High Exposure,Low Frequency,Consistent,45883.628955,1,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,141,764.2303244170213,13230.204061323666,0.5602836879432624,0.4113475177304964,High Exposure,Low Frequency,Consistent,,0,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,125,1084.744,-2392.0236192,0.216,0.144,Low Exposure,Low Frequency,Inconsistent,183403.024142,1,0.0
